OBJECTID,Join_Count,TARGET_FID,JOIN_FID,EGRID,COMMUNE,NO_COMM,NO_PARCELLE,IDEDDP,SURFACE,MUTMAI,MUTORI,PROVENANCE,VALIDITE,TYPE_PROPRI,PLAN_RF,EXTRAIT_RDPPF_PDF,NO_CLASSEMENT,NOM,NATURE_OBJET,DATE_ACE,PROTECTION_FEDERALE,LIEN_WWW,LIEN_ARRETE,SHAPE_Length,SHAPE_Area,x,y
"140","1","18504","53",CH285565638247,Confignon,"18","11607",18:11607,"385","0092006","0092006",terrestre,en vigueur,privé,"3",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH285565638247,MS-c 56,Eglise Saints-Pierre-et-Paul,Parcelle,30.12.1921,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c56.pdf,83.7200304305067,385.105472075713,6.0845731377,46.1740752659
"141","1","18504","938",CH285565638247,Confignon,"18","11607",18:11607,"385","0092006","0092006",terrestre,en vigueur,privé,"3",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH285565638247,MS-c 56,Eglise Saints-Pierre-et-Paul,"Maison, immeuble",30.12.1921,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c56.pdf,83.7200304305067,385.105472075713,6.0845731377,46.1740752659
"142","1","18762","16",CH476386736530,Hermance,"28","2451",28:2451,"185",,"62010",terrestre,en vigueur,privé,"10",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH476386736530,MS-c 111,"Divers immeubles, parcelles et murs de l'ancienne enceinte d'Hermance",Parcelle,02.11.1945,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c111.pdf,55.7011652425425,184.697178846116,6.2444516136,46.3019848377
"143","1","18762","586",CH476386736530,Hermance,"28","2451",28:2451,"185",,"62010",terrestre,en vigueur,privé,"10",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH476386736530,MS-c 111,Divers immeubles et murs de l'ancienne enceinte d'Hermance,"Maison, immeuble",02.11.1945,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c111.pdf,55.7011652425425,184.697178846116,6.2444516136,46.3019848377
"144","1","19029","459",CH396582246333,Collonge-Bellerive,"16","9164",16:9164,"28700","07052003","07052003",terrestre,en vigueur,privé,"65",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH396582246333,MS-c 285,Château de Bellerive (parcelle),Parcelle,15.03.2023,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c285.pdf,667.504979180546,28699.7372862381,6.1952532091,46.2572061382
"145","1","19112","610",CH336580635837,Dardagny,"20","788",20:788,"1652","81995","81995",terrestre,en vigueur,DP communal,"1",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH336580635837,MS-c 117,Bords de l'Allondon,Parcelle,01.04.1952,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c117.pdf,826.454324755674,1651.6894649685,5.9984757236,46.2188945486
"146","1","19292","353",CH476380236540,Confignon,"18","11177",18:11177,"1679","351993","351993",terrestre,en vigueur,privé,"4",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH476380236540,MS-c 64,Bois au bord de l'Aire,Parcelle,"16.01.1935,19.09.1934,09.11.1923","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,235.745861379027,1678.73717909528,6.0970984774,46.1735649573
"147","1","19637","374",CH576385806581,Cologny,"17","352",17:352,"2452","0232009","291982",terrestre,en vigueur,privé,"21",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH576385806581,MS-c 287,Domaine de la Villanelle (parcelle),Parcelle,26.06.2024, ,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c287.pdf,208.254843276539,2452.29392344915,6.1830929653,46.2178351849
"148","1","19637","843",CH576385806581,Cologny,"17","352",17:352,"2452","0232009","291982",terrestre,en vigueur,privé,"21",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH576385806581,MS-c 287,Domaine de la Villanelle,"Maison, immeuble",26.06.2024,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c287.pdf,208.254843276539,2452.29392344915,6.1830929653,46.2178351849
"149","1","20248","525",CH768265639672,Pregny-Chambésy,"37","1101",37:1101,"6554","241970","241970",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH768265639672,MS-c 281,Ancien domaine Adolphe Perrot (parcelle),Parcelle,21.09.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c281.pdf,359.557559489725,6553.95897499171,6.1438904182,46.2397713547
"150","1","20337","270",CH216365658105,Pregny-Chambésy,"37","1112",37:1112,"7813","311970","311970",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH216365658105,MS-c 281,Ancien domaine Adolphe Perrot (parcelle),Parcelle,21.09.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c281.pdf,534.277314589629,7812.5368434305,6.1439956511,46.2387700045
"151","1","20862","268",CH668265639312,Pregny-Chambésy,"37","1422",37:1422,"871","731983","731983",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH668265639312,MS-c 281,Ancien domaine Adolphe Perrot (parcelle),Parcelle,21.09.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c281.pdf,146.128256223842,871.078795941158,6.1447516293,46.2392458271
"152","1","20926","497",CH146365887722,Genève-Cité,"21","5750",21:5750,"435","0162020","0000000",terrestre,en vigueur,privé,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH146365887722,MS-c 268,"Ensemble ""Mont-Blanc Centre""","Maison, immeuble",30.11.2011,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c268.pdf,112.128978878337,434.884529042686,6.1447572627,46.2078072370
"153","1","20929","948",CH276381636576,Onex,"34","980",34:980,"4183","0122014","91969",terrestre,en vigueur,privé,"6",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH276381636576,MS-c 64,Bois au bord de l'Aire,Parcelle,"19.09.1934,09.11.1923,16.01.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,298.707271689556,4183.14589109459,6.0983767460,46.1763269647
"154","1","21001","650",CH908263946558,Pregny-Chambésy,"37","1103",37:1103,"5260","731983","731983",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH908263946558,MS-c 281,Ancien domaine Adolphe Perrot (parcelle),Parcelle,21.07.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c281.pdf,312.147750600297,5259.72281035625,6.1440238054,46.2392721433
"155","1","21018","373",CH555365876392,Cartigny,"9","803",9:803,"1585",,"0000000",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH555365876392,MS-c 134,Ancienne boucle du Rhône,Parcelle,02.10.1956,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c134.pdf,239.780338858105,1584.77558947231,6.0247431424,46.1764313022
"156","1","21046","165",CH628945656360,Genève-Cité,"21","5754",21:5754,"1125","0162020","0000000",terrestre,en vigueur,privé,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH628945656360,MS-c 268,"Ensemble ""Mont-Blanc Centre""","Maison, immeuble",30.11.2011,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c268.pdf,144.156542671475,1125.35663250821,6.1451847261,46.2078009143
"157","1","21047","467",CH336585638067,Genève-Cité,"21","6712",21:6712,"1133","0162020","0000000",terrestre,en vigueur,privé,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH336585638067,MS-c 280,Cinéma Le Plaza,"Maison, immeuble",18.12.2019,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c280.pdf,138.797494097207,1133.07170164761,6.1449118192,46.2076041779
"158","1","21048","554",CH328580656352,Genève-Cité,"21","5755",21:5755,"770","0162020","0000000",terrestre,en vigueur,privé,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH328580656352,MS-c 286,"Ensemble ""Cendrier-Centre""","Maison, immeuble",24.03.2004,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c286.pdf,112.971485567466,770.194258469043,6.1446862232,46.2074107183
"159","1","21051","551",CH116356658321,Lancy,"31","1661",31:1661,"3122","0442020","0000000",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH116356658321,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,245.616394623171,3122.27505584868,6.1217955547,46.1857888872
"160","1","21052","206",CH768565632265,Carouge,"8","2797",8:2797,"1513","0022019","381995",terrestre,en vigueur,DP communal,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH768565632265,MS-c 264,Villa Leclerc,Parcelle,13.01.2010,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c264.pdf,646.285349068719,1512.54346082623,6.1376558317,46.1729847252
"161","1","21216","496",CH776382176535,Bernex,"7","2836",7:2836,"2197",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH776382176535,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,207.947354468443,2196.9737525936,6.0704329183,46.1680563643
"162","1","21376","494",CH846365814927,Bernex,"7","2825",7:2825,"4820",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH846365814927,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,318.844795280956,4820.42564837045,6.0708581025,46.1693212363
"163","1","21536","318",CH628252656389,Genève-Plainpalais,"24","3748",24:3748,"17985","671996","671996",terrestre,en vigueur,DP cantonal,"96",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH628252656389,MS-c 224,Ancienne usine des Forces motrices,Parcelle,27.07.1988,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c224.pdf,1052.08865857339,17984.5375317798,6.1367422688,46.2044883524
"164","1","21536","917",CH628252656389,Genève-Plainpalais,"24","3748",24:3748,"17985","671996","671996",terrestre,en vigueur,DP cantonal,"96",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH628252656389,MS-c 224,Ancienne usine des Forces motrices,"Maison, immeuble",27.07.1988,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c224.pdf,1052.08865857339,17984.5375317798,6.1367422688,46.2044883524
"165","1","21800","914",CH752965826308,Cologny,"17","2021",17:2021,"4240","102000","102000",terrestre,en vigueur,privé,"12",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH752965826308,MS-c 246,"Château ""El Masr""","Maison, immeuble","16.09.1998,14.04.1999","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c246.pdf,281.646903102827,4239.99642415613,6.1877052098,46.2202350996
"166","1","21844","245",CH708263716501,Cartigny,"9","521",9:521,"3425",,"0000000",terrestre,en vigueur,privé,"35",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH708263716501,MS-c 167,Mare de la Petite-Grave,Parcelle,19.05.1961,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c167.pdf,233.562873966014,3425.27337092496,6.0361306851,46.1735042421
"167","1","22098","172",CH516315658360,Lancy,"31","2506",31:2506,"5335","0252015","711964",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH516315658360,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,305.543643028875,5334.78280401523,6.1216337971,46.1852989671
"168","1","22158","434",CH976383366595,Lancy,"31","902",31:902,"111","0252015","0000000",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH976383366595,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,53.6703714223911,110.616510046468,6.1210570199,46.1853015135
"169","1","22270","299",CH988665638239,Bernex,"7","2833",7:2833,"2590",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH988665638239,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,213.286735709001,2590.04332448079,6.0707737708,46.1682222835
"170","1","22279","582",CH416390658202,Bernex,"7","2787",7:2787,"6057",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH416390658202,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,364.810129542771,6056.90318112443,6.0683972660,46.1707687656
"171","1","22388","465",CH185565638083,Choulex,"14","1822",14:1822,"5324",,"0000000",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH185565638083,MS-c 164,Propriété Juvet à Choulex,Parcelle,20.01.1961,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c164.pdf,434.866584539127,5323.54460294192,6.2237756190,46.2167930960
"172","1","22408","122",CH596582656336,Bernex,"7","2857",7:2857,"7124",,"0000000",terrestre,en vigueur,privé,"23",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH596582656336,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,367.356742310627,7123.8765952021,6.0685863035,46.1670258344
"173","1","22476","568",CH376382936540,Bernex,"7","2841",7:2841,"5571",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH376382936540,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,295.342010560573,5571.31314224631,6.0686348939,46.1684242598
"174","1","22526","634",CH389465638227,Bernex,"7","2662",7:2662,"1682",,"0000000",terrestre,en vigueur,privé,"15",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH389465638227,MS-c 64,Bois au bord de l'Aire,Parcelle,"09.11.1923,16.01.1935,19.09.1934","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,208.635376405539,1681.92772155761,6.0813025364,46.1669030418
"175","1","22535","786",CH876382136513,Bernex,"7","2956",7:2956,"4280",,"0000000",terrestre,en vigueur,privé,"29",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH876382136513,MS-c 102,Coteau du Signal de Bernex,Parcelle,03.10.1933,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,335.249160796691,4279.90909399703,6.0657740287,46.1688274557
"176","1","22708","249",CH676382516564,Bernex,"7","2823",7:2823,"3151",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH676382516564,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,272.067709921031,3150.92332086165,6.0681719319,46.1688740345
"177","1","22751","588",CH416360658179,Lancy,"31","3241",31:3241,"12750","0242015","631982",terrestre,en vigueur,privé,"25",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH416360658179,MS-c 145,Ancienne maison Geisendorf - parcelle,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,505.014085493239,12750.3063496903,6.1205238932,46.1847107430
"178","1","22814","853",CH946365822019,Bernex,"7","2791",7:2791,"1033",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH946365822019,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,287.336820248499,1033.15890874119,6.0701120410,46.1700072342
"179","1","23161","52",CH728520656368,Plan-les-Ouates,"36","6700",36:6700,"711","0322004","0322004",terrestre,en vigueur,privé,"49",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH728520656368,MS-c 123,Tour de Saconnex-d'Arve,Parcelle,11.10.1955,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c123.pdf,117.476389915618,711.104208510126,6.1260868581,46.1600902855
"180","1","23161","167",CH728520656368,Plan-les-Ouates,"36","6700",36:6700,"711","0322004","0322004",terrestre,en vigueur,privé,"49",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH728520656368,MS-c 123,Tour de Saconnex-d'Arve,"Maison, immeuble",11.10.1955,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c123.pdf,117.476389915618,711.104208510126,6.1260868581,46.1600902855
"181","1","23265","571",CH116341658260,Bernex,"7","2955",7:2955,"9564",,"0000000",terrestre,en vigueur,privé,"29",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH116341658260,MS-c 102,Coteau du Signal de Bernex,Parcelle,03.10.1933,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,415.018678703846,9563.99826673742,6.0653937657,46.1691881388
"182","1","23278","623",CH208263446558,Bernex,"7","2831",7:2831,"9597",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH208263446558,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,392.19722616595,9596.98778641152,6.0694365620,46.1690415796
"183","1","23279","234",CH508263536526,Bernex,"7","2838",7:2838,"1161",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH508263536526,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,178.398164598011,1160.85435562005,6.0701854168,46.1679458738
"184","1","23305","356",CH208263216530,Confignon,"18","10617",18:10617,"1958",,"0000000",terrestre,en vigueur,privé,"8",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH208263216530,MS-c 64,Bois au bord de l'Aire,Parcelle,"19.09.1934,09.11.1923,16.01.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,189.46740131595,1958.46286165766,6.0837304361,46.1680925248
"185","1","23339","542",CH596582126301,Bernex,"7","2844",7:2844,"9454",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH596582126301,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,508.423071943745,9454.48049589662,6.0682525557,46.1678456169
"186","1","23391","510",CH868365637037,Bernex,"7","2842",7:2842,"1650",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH868365637037,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,178.326642853517,1650.26465570088,6.0689572171,46.1680121358
"187","1","23398","482",CH516372658332,Bernex,"7","2961",7:2961,"2372",,"0000000",terrestre,en vigueur,privé,"29",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH516372658332,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,192.216972192023,2371.60008090668,6.0661642683,46.1677484562
"188","1","23433","372",CH446365848620,Pregny-Chambésy,"37","1859",37:1859,"17931","0102002","0102002",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH446365848620,MS-c 129,Propriété du Reposoir,Parcelle,11.07.1956,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c129.pdf,1905.32548534845,17931.2476296446,6.1459672408,46.2326225504
