OBJECTID,Join_Count,TARGET_FID,JOIN_FID,EGRID,COMMUNE,NO_COMM,NO_PARCELLE,IDEDDP,SURFACE,MUTMAI,MUTORI,PROVENANCE,VALIDITE,TYPE_PROPRI,PLAN_RF,EXTRAIT_RDPPF_PDF,NO_CLASSEMENT,NOM,NATURE_OBJET,DATE_ACE,PROTECTION_FEDERALE,LIEN_WWW,LIEN_ARRETE,SHAPE_Length,SHAPE_Area,x,y
"11","1","1145","317",CH296582426313,Bernex,"7","2843",7:2843,"3426",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH296582426313,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,252.736214342884,3426.26594365707,6.0694077734,46.1676619986
"12","1","1151","597",CH868265632512,Bernex,"7","7789",7:7789,"932",,"0000000",terrestre,en vigueur,DP communal,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH868265632512,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,470.491722601613,932.117814129561,6.0696231819,46.1683798581
"13","1","1339","309",CH536589631330,Collonge-Bellerive,"16","5212",16:5212,"3721",,"0000000",terrestre,en vigueur,privé,"43",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH536589631330,MS-c 104,Signal de Bonvard,Parcelle,27.01.1939,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c104.pdf,315.893735179305,3721.43769405685,6.2112836755,46.2375379480
"14","1","1642","946",CH636585631728,Confignon,"18","11273",18:11273,"2796","0162020","0052009",terrestre,en vigueur,DP communal,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH636585631728,MS-c 64,Bois au bord de l'Aire,Parcelle,"19.09.1934,16.01.1935,09.11.1923","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,884.77542046081,2796.43061489326,6.0919144861,46.1726272119
"15","1","1652","274",CH928349656384,Vernier,"46","4113",46:4113,"7208","551996","551996",terrestre,en vigueur,dépendance,"24",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH928349656384,MS-c 143,Maison de L'Etincelle,Parcelle,22.10.1957,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c143.pdf,594.300207836047,7208.41357683252,6.1076210572,46.2026115656
"16","1","1691","272",CH588365639153,Grand-Saconnex,"26","2449",26:2449,"1364",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH588365639153,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,148.931731398438,1363.88026081783,6.1281441773,46.2295289764
"17","1","1691","616",CH588365639153,Grand-Saconnex,"26","2449",26:2449,"1364",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH588365639153,MS-c 277,Centre Oecuménique des Eglises,"Maison, immeuble",22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,148.931731398438,1363.88026081783,6.1281441773,46.2295289764
"18","1","1692","272",CH596591836395,Grand-Saconnex,"26","2450",26:2450,"1676",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH596591836395,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,165.572146101854,1676.08489048302,6.1292593841,46.2299601900
"19","1","1700","295",CH576383156503,Vernier,"46","1006",46:1006,"7537","0342013","391972",terrestre,en vigueur,privé,"24",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH576383156503,MS-c 143,Ancien domaine de Hauterive,Parcelle,"22.10.1957,02.07.1975","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c143.pdf,369.057686163384,7537.40501206144,6.1098083167,46.2038583868
"20","1","1804","272",CH569165638307,Grand-Saconnex,"26","2457",26:2457,"750",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH569165638307,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,366.298308108541,750.205801673295,6.1289209672,46.2291785521
"21","1","1805","272",CH576391836518,Grand-Saconnex,"26","2448",26:2448,"3918",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH576391836518,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,252.527522920121,3918.41941862982,6.1287007760,46.2297051959
"22","1","1805","616",CH576391836518,Grand-Saconnex,"26","2448",26:2448,"3918",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH576391836518,MS-c 277,Centre Oecuménique des Eglises,"Maison, immeuble",22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,252.527522920121,3918.41941862982,6.1287007760,46.2297051959
